Total;48;;;;;
Type;Course Code;Course Name;Credit;ECTS
Mandatory;AR101;TASARIMA GİRİŞ;8;12
Mandatory;AR161;MİMARİ İLETİŞİM TEKNİKLERİ;3;6
Mandatory;CP111;ŞEHİRLEŞME VE ŞEHİR PLANLAMA;3;4
Mandatory;ENG101;INGILIZCE OKUMA VE YAZMA BECERILERI I;3;3
Mandatory;MATH121;TEMEL MATEMATİK I;4;4
Mandatory;AR102;MİMARİ TASARIMA GİRİŞ;8;12
Mandatory;CP132;TARİHTE KENT;3;3
Mandatory;CP154;YAPI TEKNOLOJİSİ VE YAPILI ÇEVRE;3;4
Mandatory;CP166;PLANCILAR İÇİN BİLGİSAYAR DESTEKLİ TASARIM;3;4
Mandatory;ENG102;INGILIZCE OKUMA VE YAZMA BECERILERI II;3;3
Mandatory;GCC101;KARİYER PLANLAMA VE GELİŞTİRME;0;2
Mandatory;SP191;YAZ STAJI I : RÖLEVE (2 HAFTA);0;2
Mandatory;SP192;YAZ STAJI II : ÖLÇME VE HARİTA BİLGİSİ (4 HAFTA);0;4
Mandatory;CP201;YERLEŞİM PLANI TASARIM STÜDYOSU;8;11
Mandatory;CP243;ŞEHİRCİLİK TARİHİ;3;4
Mandatory;CP253;PLANCILAR İÇİN İSTATİSTİKSEL YÖNTEMLER;3;4
Mandatory;ENG201;İLERİ OKUMA VE İLETİŞİM BECERİLERİ;3;3
Mandatory;MATH265;TEMEL DOĞRUSAL CEBİR;3;4
Mandatory;CP202;PLANLAMA ARAŞTIRMA STÜDYOSU;8;13
Mandatory;CP242;ŞEHİR SOSYOLOJİSİ;3;3
Mandatory;CP254;PLANCILAR VE TASARIMCILAR ICIN EKONOMI;3;4
Mandatory;CP256;PLANLAMADA NICELIKSEL TEKNIKLER;3;3
Mandatory;CP266;COĞRAFİ BİLGİ SİSTEMLERİNE GİRİŞ (CBS);3;3
Mandatory;CP331;PLANLAMA KURAMI VE UYGULAMASI;3;5
Mandatory;CP335;ÇEVRESEL KONULAR VE PLANLAMA;3;5
Mandatory;CP345;KENTSEL COĞRAFYA;3;5
Mandatory;CP355;ŞEHİRLERDE ULAŞIM PLANLAMASI;3;5
Mandatory;CP344;ŞEHİR EKONOMİSİ;3;4
Mandatory;CP362;SEHIR ALTYAPI SISTEMLERI;3;4
Mandatory;CP372;ŞEHİR KONUTLARI;3;4
Mandatory;CP384;PLANLAMANIN YASAL VE İDARİ YÖNLERİ;3;4
Mandatory;CP390;PLANLAMA STAJI II : BÜRO STAJI (4 HAFTA);0;4
Mandatory;CP413;KENTSEL YENİLEŞME: TEORİ VE UYGULAMA;3;5
Mandatory;CP421;TAŞINMAZ MAL EKONOMİSİ;3;5
Mandatory;CP438;KENT SİYASETİ;3;5
Mandatory;CP488;ŞEHİR MEKANLARININ KORUNMASI;3;4
Elective;HIST201;ATATÜRK İLKELERİ VE İNKILAP TARİHİ I;0;2
Elective;HIST203;ULUSLARARASI ÖĞRENCİLER İÇİN TÜRK DEVRİM TARİHİ I;0;2
Elective;TURK201;TÜRK DİLİ DERSLERİ I;0;2
Elective;TURK203;ULUSLARARASI ÖĞRENCİLER İÇİN TÜRKÇE I;0;2
Elective;CP301;PLANLAMA TASARIMI I;8;12
Elective;CP303;SÜRDÜRÜLEBİLİR STRATEJİK PLANLAMA STÜDYOSU;8;12
Elective;CP304;SÜRDÜRÜLEBİLİR STRATEJİK PLANLAMA STÜDYOSU II;8;12
Elective;CP302;PLANLAMA TASARIMI II;8;12
Elective;CP465;BİLGİSAYAR SIMULASYON MODELLERI;3;4
Elective;CP464;PLANCILAR İÇİN ÜÇ BOYUTLU MODELLEME II;3;4
Elective;CP469;PLANLAMADA KARAR VERME DESTEK SİSTEMLERİ;3;4
Elective;CP492;BÖLGESEL EKONOMİK GELİŞME VE PLANLAMA;3;4
Elective;CP466;UZAKTAN ALGILAMA TEMELLERİ;3;4
Elective;CP442;KIRSAL PLANLAMA;3;4
Elective;CP480;YEREL YÖNETİMLER;3;4
Elective;CP431;EKOLOJIK PLANLAMA;3;4
Elective;CP484;ŞEHİR ARKEOLOJISI;3;4
Elective;CP414;GEZEGENİN KENTLEŞMESİ VE DOĞA;3;4
Elective;CP408;EĞİTİM PLANI DESTEKLEYİCİ ALAN DERSİ;3;4
Elective;CP463;PLANCILAR İÇİN 3 BOYUTLU MODELLEME I;3;4
Elective;CP385;ŞEHİR PLANLAMA VE TASARIMINDA ÖRNEK ALAN ÇALIŞMALARI;3;4
Elective;CP436;PLANCILAR İÇİN PROJE YÖNETİMİ;3;4
