Total;42;;;;;
Type;Course Code;Course Name;Credit;ECTS
Mandatory;ENG101;INGILIZCE OKUMA VE YAZMA BECERILERI I;3;3
Mandatory;MATH101;ÖN MATEMATİK;0;2
Mandatory;MATH111;ANALİTİK GEOMETRİ;3;5
Mandatory;MATH131;MATEMATİĞİN TEMELLERİ;5;7
Mandatory;MATH151;ANALİZ I;5;7
Mandatory;PHYS101;GENEL FİZİK I;3;6
Mandatory;CENG113;PROGRAMLAMAYA GIRIS;4;6
Mandatory;ENG102;INGILIZCE OKUMA VE YAZMA BECERILERI II;3;3
Mandatory;GCC101;KARİYER PLANLAMA VE GELİŞTİRME;0;2
Mandatory;MATH132;AYRIK MATEMATİĞE GİRİŞ;4;6
Mandatory;MATH152;ANALİZ II;5;7
Mandatory;PHYS102;GENEL FİZİK II;3;6
Mandatory;MATH251;VEKTÖR ANALİZİ;5;6
Mandatory;MATH255;DIFERANSIYEL DENKLEMLER;4;6
Mandatory;MATH261;DOĞRUSAL CEBİR I;4;6
Mandatory;MATH202;BILIMSEL HESAPLAMA;3;6
Mandatory;MATH252;İLERİ ANALİZ;4;6
Mandatory;MATH262;DOĞRUSAL CEBİR II;4;6
Mandatory;MATH355;KISMİ DİFERANSİYEL DENKLEMLER;4;8
Mandatory;MATH361;SOYUT CEBİR;5;10
Mandatory;MATH332;OLASILIK VE İSTATİSTİK;5;8
Mandatory;MATH352;KOMPLEKS ANALİZ;5;10
Mandatory;MATH415;MATEMATİKSEL ARAŞTIRMA PROJESİ I;0;15
Mandatory;MATH416;MATEMATİKSEL ARAŞTIRMA PROJESİ II;0;15
Elective;ART206;SES PRODÜKSİYON VE TASARIMINA GİRİŞ;3;3
Elective;ART212;ARMONİYE GİRİŞ;3;5
Elective;ART231;TÜRK HALK DANSLARINA GİRİŞ;3;5
Elective;ART240;RESİM SANATI KAVRAMLAR VE KURAMLAR;3;5
Elective;CHN201;TEMEL ÇİNCE I;3;3
Elective;CHN202;TEMEL ÇİNCE II;3;3
Elective;ECON201;YENİLİK EKONOMİSİ;3;5
Elective;EDU601;GELİŞİM VE ÖĞRENME;3;3
Elective;FREN201;TEMEL FRANSIZCA I;3;3
Elective;FREN202;TEMEL FRANSIZCA II;3;3
Elective;FREN203;ORTA DUZEY FRANSIZCA I;3;3
Elective;FREN204;ORTA DUZEY FRANSIZCA II;3;3
Elective;FREN205;İLERİ DÜZEY FRANSIZCA I;3;3
Elective;GER201;TEMEL ALMANCA I;3;3
Elective;GER202;TEMEL ALMANCA II;3;3
Elective;GER203;ORTA DUZEY ALMANCA I;3;3
Elective;GER204;ORTA DUZEY ALMANCA II;3;3
Elective;HUM201;FELSEFEYE GİRİŞ;3;5
Elective;HUM203;SOSYAL ANTROPOLOJİYE GİRİŞ;3;5
Elective;HUM204;TÜRKÇENİN ETKİLİ VE DOĞRU KULLANIMI;3;5
Elective;HUM207;OSMANLI TARİHİ I;3;3
Elective;HUM208;OSMANLI TARİHİ II;3;3
Elective;HUM209;KÜLTÜRLERARASI İLETİŞİM;3;5
Elective;HUM210;TÜRKÇE YAZILI ANLATIMIN GELİŞTİRİLMESİ;3;5
Elective;HUM213;MODERN DÜNYA TARİHİ;3;5
Elective;HUM215;MİTOLOJİ;3;5
Elective;HUM216;FOLKLOR METİNLERİNİN ANALİZİ;3;3
Elective;HUM217;SANAT TARİHİ I;3;5
Elective;HUM218;SANAT TARİHİ II;3;3
Elective;HUM219;SANAT TARİHİ III;3;3
Elective;HUM226;ÇAĞDAŞ TÜRK EDEBİYATINDAN METİN İNCELEMELERİ;3;3
Elective;HUM227;TÜRK DİL REFORMU;3;5
Elective;HUM228;MEDYA VE EDEBİYATTA ELEŞTİREL OKUMA;3;5
Elective;HUM230;GRUP DİNAMİKLERİ;3;5
Elective;HUM231;ÇALIŞMA SOSYOLOJİSİ;3;5
Elective;HUM232;GÖRSEL İLETİŞİM;3;5
Elective;HUM233;SANATTA GÖRSEL ALGI;3;5
Elective;HUM250;TOPLUMSAL SORUMLULUK PROJELERİ;3;5
Elective;HUM251;OSMANLI TÜRKÇESİ I;3;5
Elective;HUM252;OSMANLI TÜRKÇESİ II;3;5
Elective;HUM253;TÜRK İŞARET DİLİ;3;5
Elective;HUM255;LATİNCE I;3;3
Elective;HUM256;LATİNCE II;3;3
Elective;HUM260;AFET YÖNETİMİNE GİRİŞ;3;5
Elective;HUM261;KÜRESEL SÜRDÜRÜLEBİLİRLİK;3;5
Elective;HUM501;ARAŞTIRMA İÇİN LATİNCE I;4;3
Elective;HUM502;ARAŞTIRMA İÇİN LATİNCE II;4;3
Elective;ITAL201;TEMEL ITALYANCA I;3;3
Elective;ITAL202;TEMEL ITALYANCA II;3;3
Elective;MAN203;PROJE YÖNETİMİ;3;5
Elective;MAN205;YENİLİK YÖNETİMİ;3;5
Elective;MAN206;İŞLETMELER VE İŞ YAŞAMI;3;5
